"","Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual","region","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k","death_case_ratio","location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"43","Chile","Latin America and Caribbean",6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,"Chile","Chile",602321.849,16463.289,3150.84360607273,86.1221437786122,0.0273330430023965,"Chile",8657,NA,0.05,NA
"44","Poland","Central and Eastern Europe",6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,"Poland","Poland",1266678.289,27477.856,3346.87428106167,72.6032255733374,0.0216928451672546,"Poland",47600,NA,0.13,NA
"45","Kazakhstan","Commonwealth of Independent States",6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,"Kazakhstan","Kazakhstan",198721.576,2718.282,1058.34093273118,14.4768835131741,0.0136788468304015,"Kazakhstan",0,0,0,0
"46","Romania","Central and Eastern Europe",6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,"Romania","Romania",620518.573,15360.998,3225.53711512645,79.8484869434893,0.0247550978623165,"Romania",10289,NA,0.05,NA
"47","Kuwait","Middle East and North Africa",6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,"Kuwait","Kuwait",149862.859,931.006,3509.20613979936,21.8005447993625,0.00621238648596714,NA,NA,NA,NA,NA
"48","Serbia","Central and Eastern Europe",6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,"Serbia","Serbia",328981.858,3072.854,4834.70081104007,45.1585075734107,0.00934049682459997,"Serbia",0,0,0,0
"49","El Salvador","Latin America and Caribbean",6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,"El Salvador","El Salvador",45227.997,1310.146,697.295643474508,20.1989731739735,0.0289675883723084,"El Salvador",0,0,0,0
"50","Mauritius","Sub-Saharan Africa",6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,"Mauritius","Mauritius",518.440999999999,9.575,40.7654074999586,0.752889483686871,0.0184688325190331,"Mauritius",0,0,0,0
"51","Latvia","Central and Eastern Europe",6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,"Latvia","Latvia",37432.139,574.022,1984.52440406701,30.4326896058853,0.0153350039654426,"Latvia",2331,NA,0.12,NA
"52","Colombia","Latin America and Caribbean",6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,"Colombia","Colombia",1605995.008,42417.152,3156.25782532295,83.3623188496941,0.0264117583110196,"Colombia",0,0,0,0
"53","Hungary","Central and Eastern Europe",5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,"Hungary","Hungary",317409.425,9178.577,3285.69280616127,95.012882556015,0.0289171532949912,NA,NA,NA,NA,NA
"54","Thailand","Southeast Asia",5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,"Thailand","Thailand",6479.008,60.865,9.28224934397544,0.0871991678851248,0.00939418503573387,"Thailand",0,0,0,0
"55","Nicaragua","Latin America and Caribbean",5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,"Nicaragua","Nicaragua",6013.455,164.46,90.775243133349,2.48258222364857,0.0273486706061657,"Nicaragua",0,0,0,0
"56","Japan","East Asia",5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,"Japan","Japan",224480.565,3147.998,177.488023107035,2.48899917801303,0.0140234768208107,"Japan",0,0,0,0
"57","Argentina","Latin America and Caribbean",5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,"Argentina","Argentina",1595460.424,42838.141,3530.10951443539,94.7835037773552,0.0268500179356376,NA,NA,NA,NA,NA
"58","Portugal","Western Europe",5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,"Portugal","Portugal",399388.292,6688.148,3916.83601382289,65.5912541176283,0.0167459791234942,"Portugal",32749,NA,0.32,NA
"59","Honduras","Latin America and Caribbean",5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,"Honduras","Honduras",120029.421,3087.003,1211.85433083268,31.1673415040757,0.0257187194129679,"Honduras",0,0,0,0
"60","Croatia","Central and Eastern Europe",5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0,2.325,"Croatia","Croatia",206330.143,3735.143,5025.98473473596,90.9841452494697,0.0181027500184498,"Croatia",7864,NA,0.19,NA
"61","Philippines","Southeast Asia",5.88,0.052,5.982,5.778,9.076,0.83,62,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,"Philippines","Philippines",470749.003,9141.568,429.589653177827,8.34228644478196,0.0194191977927567,"Philippines",0,0,0,0
"62","South Korea","East Asia",5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,"South Korea","South Korea",57219.29,842.421,111.605620865852,1.64313326389461,0.01472267481823,"South Korea",0,0,0,0
"63","Peru","Latin America and Caribbean",5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,"Peru","Peru",1008177.993,37472.287,3057.69350311778,113.649344959333,0.0371683247007753,"Peru",0,0,0,0
"64","Bosnia and Herzegovina","Central and Eastern Europe",5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,"Bosnia and Herzegovina","Bosnia and Herzegovina",110033.429,3977.567,3353.84436489104,121.237162107586,0.0361487144056921,"Bosnia and Herzegovina",0,0,0,0
"65","Moldova","Commonwealth of Independent States",5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,"Moldova","Moldova",142289.152,2919.005,3527.27955115106,72.3607281474817,0.0205145997356144,"Moldova",0,0,0,0
"66","Ecuador","Latin America and Caribbean",5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,"Ecuador","Ecuador",210217.575,14002.577,1191.50291956157,79.3659206509529,0.0666099254546153,"Ecuador",0,0,0,0
"67","Kyrgyzstan","Commonwealth of Independent States",5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,"Kyrgyzstan","Kyrgyzstan",80515.146,1349.009,1234.10160738703,20.6770310679132,0.0167547233908015,"Kyrgyzstan",0,0,0,0
"68","Greece","Western Europe",5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0,0.074,2.561,"Greece","Greece",136439.707,4670.57,1309.01826681158,44.8099866296411,0.0342317504390419,"Greece",2339,NA,0.02,NA
"69","Bolivia","Latin America and Caribbean",5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,"Bolivia","Bolivia",156247.437,9118.435,1338.53378587512,78.1154146023281,0.0583589412733855,"Bolivia",0,0,0,0
"70","Mongolia","East Asia",5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,"Mongolia","Mongolia",1162.865,0.429,35.4716724440654,0.0130860826308334,0.00036891642624036,"Mongolia",0,0,0,0
"71","Paraguay","Latin America and Caribbean",5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,"Paraguay","Paraguay",105551.286,2206.01,1479.85758209219,30.9288569413658,0.0208998874727116,"Paraguay",0,0,0,0
"72","Montenegro","Central and Eastern Europe",5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,"Montenegro","Montenegro",47047.584,670.156,7490.91395435482,106.702204559422,0.0142442170888095,"Montenegro",0,0,0,0
"73","Dominican Republic","Latin America and Caribbean",5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,"Dominican Republic","Dominican Republic",167681.142,2406.279,1545.74692032673,22.1819717431128,0.0143503256913649,"Dominican Republic",0,0,0,0
